KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
apoptosis/drug effects	biological products/chemistry	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	bone marrow/drug effects	4.98566787854315e-09	4.50418593388634e-08	0.074074074074074	0.491090027111315	1	0	[32134361]
apoptosis/drug effects	cell proliferation/drug effects	0.0035478824308358	0.0054647911845691	0.0869183494293239	0.5011717509037	1	1	[30420335]
apoptosis/drug effects	cytokines/metabolism	0.0005241692955735	0.0012925943513292	0.145299145299145	0.491090027111315	1	0	[32134361,30420335]
apoptosis/drug effects	dichloroacetic acid/chemistry	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	drug interactions	4.98566787854315e-09	4.50418593388634e-08	0.074074074074074	0.491090027111315	1	0	[32134361]
apoptosis/drug effects	drug synergism	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	energy metabolism/drug effects	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	ileum/drug effects	4.98566787854315e-09	4.50418593388634e-08	0.074074074074074	0.491090027111315	1	0	[32134361]
apoptosis/drug effects	macrophages/cytology	0.0011893547260051	0.0026470673103721	0.145299145299145	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	necroptosis/drug effects	4.98566787854315e-09	4.50418593388634e-08	0.074074074074074	0.491090027111315	1	0	[32134361]
apoptosis/drug effects	neoplasms/drug therapy	0.0015006475463213	0.0033068980883982	0.145299145299145	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	phenotype	0.0035478824308358	0.0054647911845691	0.0869183494293239	0.5011717509037	1	1	[30420335]
apoptosis/drug effects	protein kinase inhibitors/chemistry	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	pyruvate dehydrogenase acetyl-transferring kinase/antagonists &amp; inhibitors	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	radiation-protective agents/pharmacology	4.98566787854315e-09	4.50418593388634e-08	0.074074074074074	0.491090027111315	1	0	[32134361]
